id,zone,task,obligation,movements,movement_types,reasons_count,reasons,code_ref,note
P-11,EXTERNAL,UNREGISTERED,REASON_DEFAULT,未声明,未声明,全部,全部,action/WriteGrant.java:26（UNKNOWN）,未登记 requester：**movements=null ⇒ 不拦**，但写入/规划会留痕（计数 + 一次 WARN）
P-12,WORKSPACE,TRAVERSAL,TEMP,OF|PURE_TRAVERSAL,of|pureTraversal,8,PATH_ACCESS|DESCEND_FOOT|STEP_PLACEMENT|SUPPORT_PLACEMENT|SCAFFOLD_RESTORE|EXPECTED_TARGET|STANDING_SPACE|LINE_OF_SIGHT,同上（R1b 起工作区才可能不同）,同 P-01（今天两区解析相同）
P-13,WORKSPACE,MINING,REASON_DEFAULT,OF|PURE_TRAVERSAL|MINING_APPROACH|CLIMB_APPROACH,of|pureTraversal|miningApproach|climbApproach,6,EXPECTED_TARGET|STANDING_SPACE|PATH_ACCESS|SUPPORT_PLACEMENT|STEP_PLACEMENT|SCAFFOLD_RESTORE,同 P-02,同 P-02（今天两区解析相同）
P-14,WORKSPACE,GATHERING,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION|CLIMB_APPROACH,of|pureTraversal|withWorldModification|climbApproach,1,LINE_OF_SIGHT,同 P-03,同 P-03（今天两区解析相同）
P-15,WORKSPACE,LUMBER,REASON_DEFAULT,OF|PURE_TRAVERSAL|MINING_APPROACH|CLIMB_APPROACH,of|pureTraversal|miningApproach|climbApproach,6,LINE_OF_SIGHT|EXPECTED_TARGET|REGION_REPLANT|STEP_PLACEMENT|SUPPORT_PLACEMENT|STANDING_SPACE,job/lumber/LumberRegionState.java:32,工作区的**唯一来源**就是这里的已划区域
P-16,WORKSPACE,CRAFT,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION,of|pureTraversal|withWorldModification,2,CRAFT_STATION_PLACE|CONTAINER_TRANSFER,同 P-05,同 P-05（今天两区解析相同）
P-17,WORKSPACE,CONTAINER,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION,of|pureTraversal|withWorldModification,2,CONTAINER_TRANSFER|STATION_PROVISION,同 P-06,同 P-06（今天两区解析相同）
P-18,WORKSPACE,BUILD,KEEP,OF|PURE_TRAVERSAL,of|pureTraversal,2,BULK_EDIT|EXPECTED_TARGET,同 P-07,同 P-07（今天两区解析相同）
P-19,WORKSPACE,RESTORE,REASON_DEFAULT,SCAFFOLD_REMOVAL|OF|PURE_TRAVERSAL,scaffoldRemoval|of|pureTraversal,3,SCAFFOLD_RESTORE|DESCEND_FOOT|EXPECTED_TARGET,同 P-08,同 P-08（今天两区解析相同）
P-20,WORKSPACE,MANUAL,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION|CLIMB_APPROACH,of|pureTraversal|withWorldModification|climbApproach,2,MANUAL|LINE_OF_SIGHT,同 P-09,同 P-09（今天两区解析相同）
P-21,WORKSPACE,DIAGNOSTIC,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION|MINING_APPROACH|SCAFFOLD_REMOVAL|CLIMB_APPROACH,of|pureTraversal|withWorldModification|miningApproach|scaffoldRemoval|climbApproach,全部,全部,同 P-10,同 P-10（今天两区解析相同）
P-22,WORKSPACE,UNREGISTERED,REASON_DEFAULT,未声明,未声明,全部,全部,action/WriteGrant.java:26（UNKNOWN）,同 P-11
P-23,EXTERNAL,SURVIVAL,TEMP,OF|PURE_TRAVERSAL|SURVIVAL_ESCAPE,of|pureTraversal|survivalEscape,2,STEP_PLACEMENT|PATH_ACCESS,action/PathRequest.java:53（survivalEscape）,逃生准备金（Q2/Q3/Q4 定案）：**放置 TEMP 必拆**（复用 scaffoldRemoval）+ 破坏按 KEEP 登记；
P-24,WORKSPACE,SURVIVAL,TEMP,OF|PURE_TRAVERSAL|SURVIVAL_ESCAPE,of|pureTraversal|survivalEscape,2,STEP_PLACEMENT|PATH_ACCESS,同 P-23,同 P-23（今天两区解析相同：逃生留下的桥**照样要拆**，不因为在自己地上就免回收）
